sample_name	editor	pegrna	replicate
Sample01_K562_ATCC_pCMV_PEmax9_4_mini_PJY181_HEK3_1TtoA_rep1	PEmax	HEK3-1TtoA	rep1
Sample02_K562_ATCC_pCMV_PEmax9_4_mini_PJY181_HEK3_1TtoA_rep2	PEmax	HEK3-1TtoA	rep2
Sample03_K562_ATCC_pCMV_PEmax9_4_mini_PJY181_HEK3_1TtoA_rep3	PEmax	HEK3-1TtoA	rep3
Sample04_K562_ATCC_pCMV_PEmax9_4_mini_PJY181_HEK3_1TtoA_rep4	PEmax	HEK3-1TtoA	rep4
Sample05_K562_ATCC_old_PJY251_6_1_mini_PJY181_HEK3_1TtoA_rep1	PE6max	HEK3-1TtoA	rep1
Sample06_K562_ATCC_old_PJY251_6_1_mini_PJY181_HEK3_1TtoA_rep2	PE6max	HEK3-1TtoA	rep2
Sample07_K562_ATCC_old_PJY251_6_1_mini_PJY181_HEK3_1TtoA_rep3	PE6max	HEK3-1TtoA	rep3
Sample08_K562_ATCC_old_PJY251_6_1_mini_PJY181_HEK3_1TtoA_rep4	PE6max	HEK3-1TtoA	rep4
Sample09_K562_ATCC_PJY331_miniprep1_PJY181_HEK3_1TtoA_rep1	PE6max-mut	HEK3-1TtoA	rep1
Sample10_K562_ATCC_PJY331_miniprep1_PJY181_HEK3_1TtoA_rep2	PE6max-mut	HEK3-1TtoA	rep2
Sample11_K562_ATCC_PJY331_miniprep1_PJY181_HEK3_1TtoA_rep3	PE6max-mut	HEK3-1TtoA	rep3
Sample12_K562_ATCC_PJY331_miniprep1_PJY181_HEK3_1TtoA_rep4	PE6max-mut	HEK3-1TtoA	rep4
