sample_name	unit_name	fq1	fq2	sra	adapters	strandedness
Sample01_K562_ATCC_pCMV_PEmax9_4_mini_PJY181_HEK3_1TtoA_rep1	lane1	../demo-data/2709__mRNAseq_Sample01_K562_ATCC_pCMV_PEmax9_4_mini_PJY181_HEK3_1TtoA_rep1-read-1.fastq.gz				yes
Sample02_K562_ATCC_pCMV_PEmax9_4_mini_PJY181_HEK3_1TtoA_rep2	lane1	../demo-data/2709__mRNAseq_Sample02_K562_ATCC_pCMV_PEmax9_4_mini_PJY181_HEK3_1TtoA_rep2-read-1.fastq.gz				yes
Sample03_K562_ATCC_pCMV_PEmax9_4_mini_PJY181_HEK3_1TtoA_rep3	lane1	../demo-data/2709__mRNAseq_Sample03_K562_ATCC_pCMV_PEmax9_4_mini_PJY181_HEK3_1TtoA_rep3-read-1.fastq.gz				yes
Sample04_K562_ATCC_pCMV_PEmax9_4_mini_PJY181_HEK3_1TtoA_rep4	lane1	../demo-data/2709__mRNAseq_Sample04_K562_ATCC_pCMV_PEmax9_4_mini_PJY181_HEK3_1TtoA_rep4-read-1.fastq.gz				yes
Sample05_K562_ATCC_old_PJY251_6_1_mini_PJY181_HEK3_1TtoA_rep1	lane1	../demo-data/2709__mRNAseq_Sample05_K562_ATCC_old_PJY251_6_1_mini_PJY181_HEK3_1TtoA_rep1-read-1.fastq.gz				yes
Sample06_K562_ATCC_old_PJY251_6_1_mini_PJY181_HEK3_1TtoA_rep2	lane1	../demo-data/2709__mRNAseq_Sample06_K562_ATCC_old_PJY251_6_1_mini_PJY181_HEK3_1TtoA_rep2-read-1.fastq.gz				yes
Sample07_K562_ATCC_old_PJY251_6_1_mini_PJY181_HEK3_1TtoA_rep3	lane1	../demo-data/2709__mRNAseq_Sample07_K562_ATCC_old_PJY251_6_1_mini_PJY181_HEK3_1TtoA_rep3-read-1.fastq.gz				yes
Sample08_K562_ATCC_old_PJY251_6_1_mini_PJY181_HEK3_1TtoA_rep4	lane1	../demo-data/2709__mRNAseq_Sample08_K562_ATCC_old_PJY251_6_1_mini_PJY181_HEK3_1TtoA_rep4-read-1.fastq.gz				yes
Sample09_K562_ATCC_PJY331_miniprep1_PJY181_HEK3_1TtoA_rep1	lane1	../demo-data/2709__mRNAseq_Sample09_K562_ATCC_PJY331_miniprep1_PJY181_HEK3_1TtoA_rep1-read-1.fastq.gz				yes
Sample10_K562_ATCC_PJY331_miniprep1_PJY181_HEK3_1TtoA_rep2	lane1	../demo-data/2709__mRNAseq_Sample10_K562_ATCC_PJY331_miniprep1_PJY181_HEK3_1TtoA_rep2-read-1.fastq.gz				yes
Sample11_K562_ATCC_PJY331_miniprep1_PJY181_HEK3_1TtoA_rep3	lane1	../demo-data/2709__mRNAseq_Sample11_K562_ATCC_PJY331_miniprep1_PJY181_HEK3_1TtoA_rep3-read-1.fastq.gz				yes
Sample12_K562_ATCC_PJY331_miniprep1_PJY181_HEK3_1TtoA_rep4	lane1	../demo-data/2709__mRNAseq_Sample12_K562_ATCC_PJY331_miniprep1_PJY181_HEK3_1TtoA_rep4-read-1.fastq.gz				yes
