sample_name	editor	pegrna	replicate
Sample13_K562_ATCC_pCMV_PEmax9_4_mini_PJY321_PRNP_6GtoT_rep1	PEmax	PRNP-6GtoT	rep1
Sample14_K562_ATCC_pCMV_PEmax9_4_mini_PJY321_PRNP_6GtoT_rep2	PEmax	PRNP-6GtoT	rep2
Sample15_K562_ATCC_pCMV_PEmax9_4_mini_PJY321_PRNP_6GtoT_rep3	PEmax	PRNP-6GtoT	rep3
Sample16_K562_ATCC_pCMV_PEmax9_4_mini_PJY321_PRNP_6GtoT_rep4	PEmax	PRNP-6GtoT	rep4
Sample17_K562_ATCC_old_PJY251_6_1_mini_PJY321_PRNP_6GtoT_rep1	PE6max	PRNP-6GtoT	rep1
Sample18_K562_ATCC_old_PJY251_6_1_mini_PJY321_PRNP_6GtoT_rep2	PE6max	PRNP-6GtoT	rep2
Sample19_K562_ATCC_old_PJY251_6_1_mini_PJY321_PRNP_6GtoT_rep3	PE6max	PRNP-6GtoT	rep3
Sample20_K562_ATCC_old_PJY251_6_1_mini_PJY321_PRNP_6GtoT_rep4	PE6max	PRNP-6GtoT	rep4
Sample21_K562_ATCC_PJY331_miniprep1_PJY321_PRNP_6GtoT_rep1	PE6max-mut	PRNP-6GtoT	rep1
Sample22_K562_ATCC_PJY331_miniprep1_PJY321_PRNP_6GtoT_rep2	PE6max-mut	PRNP-6GtoT	rep2
Sample23_K562_ATCC_PJY331_miniprep1_PJY321_PRNP_6GtoT_rep3	PE6max-mut	PRNP-6GtoT	rep3
Sample24_K562_ATCC_PJY331_miniprep1_PJY321_PRNP_6GtoT_rep4	PE6max-mut	PRNP-6GtoT	rep4
