sample_name	unit_name	fq1	fq2	sra	adapters	strandedness
Sample13_K562_ATCC_pCMV_PEmax9_4_mini_PJY321_PRNP_6GtoT_rep1	lane1	../demo-data/2709__mRNAseq_Sample13_K562_ATCC_pCMV_PEmax9_4_mini_PJY321_PRNP_6GtoT_rep1-read-1.fastq.gz				yes
Sample14_K562_ATCC_pCMV_PEmax9_4_mini_PJY321_PRNP_6GtoT_rep2	lane1	../demo-data/2709__mRNAseq_Sample14_K562_ATCC_pCMV_PEmax9_4_mini_PJY321_PRNP_6GtoT_rep2-read-1.fastq.gz				yes
Sample15_K562_ATCC_pCMV_PEmax9_4_mini_PJY321_PRNP_6GtoT_rep3	lane1	../demo-data/2709__mRNAseq_Sample15_K562_ATCC_pCMV_PEmax9_4_mini_PJY321_PRNP_6GtoT_rep3-read-1.fastq.gz				yes
Sample16_K562_ATCC_pCMV_PEmax9_4_mini_PJY321_PRNP_6GtoT_rep4	lane1	../demo-data/2709__mRNAseq_Sample16_K562_ATCC_pCMV_PEmax9_4_mini_PJY321_PRNP_6GtoT_rep4-read-1.fastq.gz				yes
Sample17_K562_ATCC_old_PJY251_6_1_mini_PJY321_PRNP_6GtoT_rep1	lane1	../demo-data/2709__mRNAseq_Sample17_K562_ATCC_old_PJY251_6_1_mini_PJY321_PRNP_6GtoT_rep1-read-1.fastq.gz				yes
Sample18_K562_ATCC_old_PJY251_6_1_mini_PJY321_PRNP_6GtoT_rep2	lane1	../demo-data/2709__mRNAseq_Sample18_K562_ATCC_old_PJY251_6_1_mini_PJY321_PRNP_6GtoT_rep2-read-1.fastq.gz				yes
Sample19_K562_ATCC_old_PJY251_6_1_mini_PJY321_PRNP_6GtoT_rep3	lane1	../demo-data/2709__mRNAseq_Sample19_K562_ATCC_old_PJY251_6_1_mini_PJY321_PRNP_6GtoT_rep3-read-1.fastq.gz				yes
Sample20_K562_ATCC_old_PJY251_6_1_mini_PJY321_PRNP_6GtoT_rep4	lane1	../demo-data/2709__mRNAseq_Sample20_K562_ATCC_old_PJY251_6_1_mini_PJY321_PRNP_6GtoT_rep4-read-1.fastq.gz				yes
Sample21_K562_ATCC_PJY331_miniprep1_PJY321_PRNP_6GtoT_rep1	lane1	../demo-data/2709__mRNAseq_Sample21_K562_ATCC_PJY331_miniprep1_PJY321_PRNP_6GtoT_rep1-read-1.fastq.gz				yes
Sample22_K562_ATCC_PJY331_miniprep1_PJY321_PRNP_6GtoT_rep2	lane1	../demo-data/2709__mRNAseq_Sample22_K562_ATCC_PJY331_miniprep1_PJY321_PRNP_6GtoT_rep2-read-1.fastq.gz				yes
Sample23_K562_ATCC_PJY331_miniprep1_PJY321_PRNP_6GtoT_rep3	lane1	../demo-data/2709__mRNAseq_Sample23_K562_ATCC_PJY331_miniprep1_PJY321_PRNP_6GtoT_rep3-read-1.fastq.gz				yes
Sample24_K562_ATCC_PJY331_miniprep1_PJY321_PRNP_6GtoT_rep4	lane1	../demo-data/2709__mRNAseq_Sample24_K562_ATCC_PJY331_miniprep1_PJY321_PRNP_6GtoT_rep4-read-1.fastq.gz				yes
